id,headline,google,deepl,dutch_lemmas,google_lemmas,deepl_lemmas
150287157,AFM noemt cfds `zeer risicovolle producten; Lang verwacht rapport wijst op enorme verliezen bij beleggers in andere landen en hoge restschulden,The AFM calls CFDs high-risk products; Long-awaited report points to huge losses among investors in other countries and high residual debtshe AFM calls CFDs high-risk products; Long-awaited report points to huge losses among investors in other countries and e AFM calls CFDs high-risk products; Long-awaited report points to huge losses among investors in ot AFM calls CFDs high-risk products; Long-awaited report points to huge losses amonAFM calls CFDs high-risk products; Long-awaited report points to FM calls CFDs high-risk products; Long-awaited reM calls CFDs high-risk products; L calls CFDs high-riskcalls CFD,AFM calls cfds high-risk products; Long-awaited report points to huge losses by investors in other countries and high residual debts,AFM noemen cfds ` zeer risicovol product ; lang verwachten rapport wijst op enorm verlies bij belegger in ander land en hoog restschuld,the AFM call Cfds high - risk product ; Long - await report point to huge loss among investor in other country and high residual debtshe AFm call Cfds high - risk product ; Long - await report point to huge loss among investor in other country and e Afm call Cfds high - risk product ; Long - await report point to huge loss among investor in ot AFM call Cfds high - risk product ; Long - await report point to huge loss amonAFm call Cfds high - risk product ; Long - await report point to FM call Cfds high - risk product ; Long - await rem call Cfds high - risk product ; l call Cfds high - riskcall Cfd,AFm call cfd high - risk product ; Long - await report point to huge loss by investor in other country and high residual debt
150287297,Akkoord Brinks over sociaal plan,Brinks agreement on social plan,Brinks agreement on social plan,akkoord Brink over sociaal plan,Brink agreement on social plan,Brink agreement on social plan
150287309,Herstel olieprijs helpt New York,Oil price recovery helps New York,Recovery of oil price helps New York,herstel olieprijs helpen New York,oil price recovery help New York,recovery of oil price help New York
150287797,Zo word je een succesvolle huisjesmelker,In this way you become a successful house fancier,This is how you become a successful cottage grower...,zo worden je een succesvol huisjesmelker,in this way you become a successful house fancier,this be how you become a successful cottage grower ...
150287829,Advies: verzacht de bezuiniging op cultuur,Advice: mitigate the cut in culture,Advice: softens the cutbacks on culture,Advies : verzenken de bezuiniging op cultuur,advice : mitigate the cut in culture,advice : soften the cutback on culture
150288030,Waarom dat extra biljoen?,Why that extra trillion?,Why the extra trillion?,waarom dat extra biljoen ?,why that extra trillion ?,why the extra trillion ?
150288219,Bonden dagen V&D voor rechter ondanks verzachte loonmaatregel,V & D days in front of the court despite a softened wage measure,Unions days V&D in court despite mitigated wage measure,Bonden dagen V&D voor rechter ondanks verzenken loonmaatregel,V & would day in front of the court despite a soften wage measure,Unions day V&d in court despite mitigate wage measure
150289411,Gemeenten verdienen aan werklozen,Municipalities earn from the unemployed,Municipalities earn from the unemployed,gemeente verdienen aan werklos,municipality earn from the unemployed,municipality earn from the unemployed
150289675,Nederland kost Grieken miljoenen,The Netherlands costs millions of Greeks,The Netherlands costs Greeks millions,Nederland kost Grieken miljoen,the Netherlands cost million of Greeks,the Netherlands cost Greeks million
150289762,Lente ontluikt ook in onze portemonnee,Spring also buds in our wallet,Spring also bursts into our wallets,lente ontluiken ook in ons portemonnee,Spring also bud in we wallet,Spring also burst into we wallet
150290043,Air France en KLM moeten op zoek naar nieuwe besparingen,Air France and KLM must look for new savings,Air France and KLM need to look for new savings,Air France en KLM moeten op zoek naar nieuw besparing,Air France and KLM must look for new savings,Air France and KLM need to look for new savings
150290155,Profclubs nog in rode cijfers,Professional clubs still in red numbers,Professional clubs still in red figures,Profclub nog in rood cijfer,professional club still in red number,professional club still in red figure
150290321,Vaak ander doel vakantiegeld,Often different purpose holiday pay,Often different purpose holiday pay,vaak ander doel vakantiegeld,often different purpose holiday pay,often different purpose holiday pay
150290550,Beurs blijft lokken; Nieuwe site over beursgeschiedenis,Stock market continues to lure; New site about stock market history,Stock market continues to attract; New site on stock market history,beurs blijven lokken ; nieuw site over beursgeschiedenis,stock market continue to lure ; new site about stock market history,stock market continue to attract ; new site on stock market history
150290677,Aankondiging Draghi geeft beurzen impuls,Draghi announcement gives stock markets a boost,Announcement Draghi gives scholarships impulse,aankondiging Draghi geven beurs impuls,Draghi announcement give stock market be a boost,announcement Draghi give scholarship impulse
150290689,"miljard euro schade door griep; 2,2",billion euros damage caused by flu; 2.2,"billion euro flu damage; 2,2","miljard euro schaen door griep ; 2,2",billion euro damage cause by flu ; 2.2,"billion euro flu damage ; 2,2"
150290728,SER: eerder hulp bij zoeken baan,SER: earlier job search assistance,SER: earlier job search assistance,SER : eerder hulp bij zoeken baan,Ser : earlier job search assistance,Ser : earlier job search assistance
150291467,Wat is TTIP?,What is TTIP?,What is TTIP?,wat zijn TTIP ?,what be TTIP ?,what be TTIP ?
150291745,Ook Europa zucht onder dure medicijnen,Europe is also suffering from expensive medicines,Europe also suffers from expensive medicines,ook Europa zucht onder dur medicijn,Europe be also suffer from expensive medicines,Europe also suffer from expensive medicines
150292079,Er is veel tegen een beursgang ABN Amro,There is a lot against an ABN Amro IPO,There is a lot against an IPO ABN Amro,er zijn veel tegen een beursgang ABN Amro,there be a lot against a ABN Amro IPO,there be a lot against a IPO ABN Amro
150292152,Nederlandse economie zet nog een tandje bij,The Dutch economy is taking a further step,Dutch economy speeds up further,Nederlands economie zetten nog een tand bij,the Dutch economy be take a further step,Dutch economy speed up further
150292287,Duitse warenhuizen Karstadt staan voor drastische sanering,German department stores Karstadt stand for drastic remediation,German department stores Karstadt stand for drastic restructuring,Duits warenhuis Karstadt staan voor drastische sanering,german department store Karstadt stand for drastic remediation,german department store Karstadt stand for drastic restructuring
150292485,Aruba mag eigen begroting controleren,Aruba may check its own budget,Aruba may audit its own budget,Aruba mogen eigen begroting controleren,Aruba may check its own budget,Aruba may audit its own budget
150292504,Van Gansewinkel verlost van juk opkoopfondsen,Van Gansewinkel got rid of yoke purchase funds,Van Gansewinkel releases from yoke buyout funds,van Gansewinkel verlost van juk opkoopfondsen,Van Gansewinkel get rid of yoke purchase fund,Van Gansewinkel release from yoke buyout fund
150292655,Ser wil steun voor sociale bedrijven,Ser wants support for social companies,Ser wants support for social enterprises,Ser willen steun voor sociaal bedrijf,Ser want support for social company,Ser want support for social enterprise
150292763,Werken aan de Nieuwe Zijderoute,Working on the New Silk Road,Working on the New Silk Road,werk aan de Nieuwe Zijderoute,work on the New silk Road,work on the New silk Road
150292964,Met groei van de economie daalt aantal daklozen,"With economic growth, the number of homeless people is falling","As the economy grows, the number of homeless falls",met groei van de economie dalen aantal dakloos,"with economic growth , the number of homeless people be fall","as the economy grow , the number of homeless fall"
150292985,Industrie China krimpt tweede maand op rij,Industry China shrinks second month in a row,Manufacturing China shrinks second month in a row,industrie China krimpen twee maand op rij,Industry China shrink second month in a row,manufacture China shrinks second month in a row
150293151,Juist nu is er behoefte aan eenheid op het continent,Right now there is a need for unity on the continent,Just now there is a need for unity on the continent,Juist nu zijn er behoeft aan eenheid op het continent,right now there be a need for unity on the continent,just now there be a need for unity on the continent
150759335,Pensioenen iets beter,Pensions slightly better,Pensions slightly better,Pensioenen iets goed,Pension slightly better,Pension slightly better
150759487,IMF: Herstel economie in Nederland zet door,IMF: Economic recovery in the Netherlands continues,IMF: Economic recovery in the Netherlands continues,IMF : herstel economie in Nederland zetten door,Imf : economic recovery in the Netherlands continue,Imf : economic recovery in the Netherlands continue
150759578,Olieprijs,Oil price,Oil price,Olieprijs,oil price,oil price
150759827,Nederland hardst geraakt bij Brexit,The Netherlands hit hardest at Brexit,The Netherlands hit the hardest at Brexit.,Nederland hardst raken bij Brexit,the Netherlands hit hardest at Brexit,the Netherlands hit the hardest at Brexit .
150760402,Beleggers trekken hun geld weg van Turkse kapitaalmarkten,Investors are pulling their money away from Turkish capital markets,Investors withdraw their money from Turkish capital markets,Belegger trekken hun geld weg van Turks kapitaalmarkt,investor be pull they money away from Turkish capital market,investor withdraw they money from turkish capital market
150760433,Finse AAA-rating op de tocht bij kredietbeoordelaar Moodys,Finnish AAA rating on the trip with credit rating agency Moodys,Finnish AAA rating in question at Moodys credit rating agency,Fins AAA-rating op de tocht bij kredietbeoordelaar Moodys,Finnish Aa rating on the trip with credit rating agency Moodys,Finnish Aa rating in question at Moodys credit rate agency
150760834,Meer kans op vakantiebaan voor jongere,More chance on vacation job for younger,More chance of a holiday job for youngsters,veel kans op vakantiebaan voor jong,more chance on vacation job for younger,more chance of a holiday job for youngster
150760841,Beleggers wachten op referendum,Investors are waiting for referendum,Investors are waiting for a referendum,Belegger wachten op referendum,investor be wait for referendum,investor be wait for a referendum
150760842,Vijftien miljoen euro schade door muizenplaag,Fifteen million euros in damage caused by mouse plague,Fifteen million euro mouse-infestation damage,vijftien miljoen euro schaen door muizenplaag,Fifte million euro in damage cause by mouse plague,Fifte million euro mouse - infestation damage
150761558,Lage rente houdt aan,Low interest rate persists,Low interest rate continues,laag rente houden aan,low interest rate persist,low interest rate continue
150761686,Ik vrees voor een slecht compromis,I fear a bad compromise,Im afraid of a bad compromise.,ik vrezen voor een slecht compromis,I fear a bad compromise,I be afraid of a bad compromise .
150761828,Deflatiespook verdwenen,Deflation ghost disappeared,Deflation ghost disappeared,Deflatiespook verdwijnen,Deflation ghost disappear,Deflation ghost disappear
150762167,Meeste pensioenen onder water,Most pensions under water,Most pensions under water,veel pensioenen onder water,most pension under water,most pension under water
163464814,Onverwachte stijging Griekse werkloosheid,Unexpected rise in Greek unemployment,Unexpected increase in Greek unemployment,Onverwacht stijging Grieks werkloosheid,unexpect rise in greek unemployment,unexpect increase in greek unemployment
163500024,Scholingsrechten meenemen naar nieuwe werkgever; Belemmeringen verklaren voor deel bevinding van Oeso dat kwart werknemers wel opleiding wil volgen maar dit niet doet,"Take training rights to a new employer; For some of the OECD findings, obstacles explain that a quarter of employees want to follow training but do not",Bring training rights to new employer; Barriers explain part of OECDs finding that a quarter of employees want to follow training but do not do so,Scholingsrecht meenemen naar nieuw werkgever ; Belemmering verklaren voor deel bevinding van Oeso dat kwarten werknemers wel opleiding willen volgen maar dit niet doen,"take training rights to a new employer ; for some of the Oecd finding , obstacle explain that a quarter of employee want to follow training but do not",bring training rights to new employer ; barrier explain part of OECDs find that a quarter of employee want to follow training but do not do so
164107285,Nieuw werk voor ontslagenen Aldel,New work for dismissals Aldel,New jobs for dismissed Aldel,nieuw werk voor ontslagenen Aldel,new work for dismissal Aldel,new job for dismiss Aldel
164107366,Vakbonden vrezen banenverlies bij IHC,Trade unions fear job losses at IHC,Trade unions fear job losses at IHC,vakbonden vrezen banenverlies bij IHC,trade union 's fear job loss at IHC,trade union 's fear job loss at IHC
164107712,Blok creÌÇert tweedeling op gereguleerde huurmarkt,Blok creates dichotomy on the regulated rental market,Block creates dichotomy on regulated rental market,Blok creÌÇert tweedeling op reguleren huurmarkt,Blok create dichotomy on the regulated rental market,block create dichotomy on regulate rental market
164107913,"Slik die bittere Europese pil, zegt Cyprus","Take that bitter European pill, Cyprus says","Take that bitter European pill, says Cyprus.","Slik die bitter Europees pil , zeggen Cyprus","take that bitter european pill , Cyprus say","take that bitter european pill , say Cyprus ."
164107914,Nieuwe plannen kabinet om huurstijging in te dammen,New government plans to curb rent increases,New cabinet plans to curb rent increases,nieuw plannen kabinet om huurstijging in te dammen,new government plan to curb rent increase,new cabinet plan to curb rent increase
