Words,Translation,All_mean_valence,All_std_valence,All_N_valence,All_mean_arousal,All_std_arousal,All_N_arousal,All_mean_power,All_std_power,All_N_power,All_mean_age_of_acquisition,All_std_age_of_acquisition,All_N_age_of_acquisition,Men_mean_valence,Men_std_valence,Men_N_valence,Men_mean_arousal,Men_std_arousal,Men_N_arousal,Men_mean_power,Men_std_power,Men_N_power,Men_mean_age_of_acquisition,Men_std_age_of_acquisition,Men_N_age_of_acquisition,Women_mean_valence,Women_std_valence,Women_N_valence,Women_mean_arousal,Women_std_arousal,Women_N_arousal,Women_mean_power,Women_std_power,Women_N_power,Women_mean_age_of_acquisition,Women_std_age_of_acquisition,Women_N_age_of_acquisition,Freq(Log10),Freq (1E6),Length,N (%),Grammatical category
pint,pint,4.63,0.98,64,3.84,1.38,63,4.23,0.93,60,9.52,2.92,32,4.91,0.86,32,4.16,1.27,31,4.19,1.15,32,9.69,3.38,16,4.34,1.04,32,3.53,1.44,32,4.29,0.60,28,9.56,2.53,16,0.17,1.49,4,2.2,N
pion,pawn,3.89,0.72,64,3.41,1.18,64,3.19,1.31,64,6.48,2.08,32,3.81,0.82,32,3.66,1.04,32,2.88,1.39,32,6.50,2.61,16,3.97,0.59,32,3.16,1.27,32,3.50,1.16,32,6.81,1.94,16,0.50,3.18,4,0.0,N
piraat,pirate,3.36,1.25,64,5.31,1.10,64,5.23,1.15,64,5.23,1.23,32,3.47,1.27,32,5.38,1.18,32,5.03,1.36,32,5.38,2.16,16,3.25,1.24,32,5.25,1.02,32,5.44,0.88,32,5.50,1.15,16,0.81,6.40,6,0.0,N
pis,piss,2.38,0.85,64,3.67,1.32,64,4.25,1.20,63,5.77,1.93,32,2.41,0.91,32,3.78,1.34,32,4.45,1.06,31,6.25,2.24,16,2.34,0.79,32,3.56,1.32,32,4.06,1.32,32,5.69,2.18,16,0.83,6.75,3,0.4,N
pissebed,millepede,2.54,0.88,63,4.00,1.31,64,2.65,1.28,63,7.23,2.49,32,2.61,0.95,31,4.09,1.20,32,2.61,1.17,31,7.50,2.99,16,2.47,0.80,32,3.91,1.42,32,2.69,1.40,32,7.25,2.21,16,-1.34,0.05,8,0.9,N
pissen,to piss,2.70,0.97,64,4.55,1.01,64,4.17,1.25,64,6.03,1.92,32,2.88,1.01,32,4.38,1.01,32,4.19,1.09,32,6.00,2.25,16,2.53,0.92,32,4.72,0.99,32,4.16,1.42,32,6.50,2.31,16,1.17,14.89,6,0.0,V
pistool,pistol,2.28,0.92,64,5.41,1.24,64,5.41,1.61,64,5.94,1.53,32,2.53,0.92,32,5.47,1.27,32,5.19,1.67,32,6.75,2.11,16,2.03,0.86,32,5.34,1.23,32,5.63,1.54,32,5.50,1.32,16,2.01,102.63,7,0.0,N
pit,pit,4.67,0.96,64,4.66,1.46,64,4.58,1.34,64,6.03,2.47,32,4.63,0.87,32,4.84,1.05,32,4.16,1.35,32,6.06,2.46,16,4.72,1.05,32,4.47,1.78,32,5.00,1.22,32,6.38,2.90,16,0.74,5.53,3,0.0,N
pittig,snappy,4.98,0.95,64,5.34,1.13,64,5.11,0.94,64,7.65,2.99,32,4.91,0.93,32,5.16,0.92,32,4.88,1.07,32,7.81,3.39,16,5.06,0.98,32,5.53,1.29,32,5.34,0.75,32,7.75,2.77,16,0.57,3.75,6,0.0,A
pizza,pizza,5.34,1.04,64,3.48,1.22,64,3.86,1.04,64,5.74,1.37,32,5.44,1.01,32,3.66,1.07,32,3.66,1.26,32,6.06,1.34,16,5.25,1.08,32,3.31,1.35,32,4.06,0.72,32,5.50,1.37,16,1.39,24.38,5,0.0,N
plaag,plague,2.47,0.82,64,4.81,1.05,64,5.02,1.25,64,7.00,2.16,32,2.47,0.84,32,4.88,1.07,32,5.06,1.37,32,6.75,2.84,16,2.47,0.80,32,4.75,1.05,32,4.97,1.15,32,7.63,1.78,16,0.93,8.42,5,0.0,N
plaat,plate,4.39,0.79,64,3.53,1.26,64,3.89,1.01,64,6.42,2.22,32,4.34,0.75,32,3.63,1.07,32,3.63,1.10,32,7.06,2.57,16,4.44,0.84,32,3.44,1.44,32,4.16,0.85,32,6.19,2.37,16,1.14,13.68,5,0.0,N
plaats,place,4.23,0.46,64,3.22,1.21,64,3.94,0.91,64,5.42,1.67,32,4.25,0.51,32,3.41,1.07,32,3.59,1.01,32,6.00,2.61,16,4.22,0.42,32,3.03,1.33,32,4.28,0.63,32,5.31,1.49,16,2.33,213.38,6,0.0,N
plafond,ceiling,3.97,0.47,64,2.98,1.19,64,3.98,0.88,64,5.52,2.00,32,3.88,0.42,32,3.16,1.11,32,3.69,0.93,32,6.00,2.66,16,4.06,0.50,32,2.81,1.26,32,4.28,0.73,32,5.44,1.86,16,0.93,8.58,7,0.0,N
plagen,to tease,3.75,1.18,64,5.11,0.88,64,4.25,1.22,63,5.55,1.88,32,3.97,1.23,32,5.19,0.78,32,4.42,1.09,31,5.75,2.84,16,3.53,1.11,32,5.03,0.97,32,4.09,1.33,32,5.75,1.29,16,0.73,5.42,6,0.0,V
plak,slice,3.61,0.68,64,3.31,1.19,64,3.69,1.01,64,6.94,2.76,32,3.50,0.67,32,3.56,1.24,32,3.72,0.96,32,7.44,3.29,16,3.72,0.68,32,3.06,1.11,32,3.66,1.07,32,6.75,2.41,16,0.50,3.13,4,0.0,N
plakken,to paste,3.86,0.73,64,4.34,1.16,64,3.73,1.09,64,4.52,1.61,32,3.81,0.78,32,4.44,1.01,32,3.47,0.98,32,5.00,2.45,16,3.91,0.69,32,4.25,1.30,32,4.00,1.14,32,4.50,1.63,16,0.71,5.15,7,0.0,V
plan,plan,4.80,0.76,64,4.13,1.11,64,4.47,1.05,64,5.87,2.19,32,4.69,0.69,32,4.16,1.11,32,4.00,1.11,32,5.94,2.72,16,4.91,0.82,32,4.09,1.12,32,4.94,0.76,32,6.19,2.14,16,2.16,143.34,4,0.0,N
planeet,planet,4.64,0.86,64,4.13,1.56,64,4.81,1.23,64,6.74,2.11,32,4.72,0.89,32,4.19,1.60,32,4.81,1.38,32,6.75,2.91,16,4.56,0.84,32,4.06,1.54,32,4.81,1.09,32,7.06,1.48,16,1.67,46.33,7,0.0,N
plank,shelf,4.03,0.44,64,3.06,1.22,64,3.94,1.07,64,5.58,1.54,32,4.16,0.37,32,3.44,1.05,32,3.66,1.12,32,5.94,2.17,16,3.91,0.47,32,2.69,1.28,32,4.22,0.94,32,5.56,1.36,16,1.05,11.21,5,0.0,N
plannen,to plan,4.69,0.89,64,4.62,1.02,63,4.36,1.16,64,6.81,2.02,32,4.47,0.76,32,4.45,1.18,31,4.06,1.39,32,6.75,2.70,16,4.91,0.96,32,4.78,0.83,32,4.66,0.79,32,7.19,1.60,16,1.80,63.73,7,0.4,V
plant,plant,4.64,0.91,64,2.77,1.28,64,3.55,1.21,64,4.90,1.68,32,4.53,0.80,32,2.69,1.28,32,3.19,1.28,32,5.00,1.93,16,4.75,1.02,32,2.84,1.30,32,3.91,1.03,32,5.06,1.73,16,1.07,11.69,5,0.0,N
planten,to plant,4.83,0.85,64,3.73,1.51,64,3.58,1.19,64,4.94,1.88,32,4.72,0.68,32,3.63,1.45,32,3.56,1.39,32,5.25,2.77,16,4.94,0.98,32,3.84,1.59,32,3.59,0.98,32,5.13,1.89,16,1.19,15.66,7,0.0,V
plas,puddle,3.45,0.82,64,3.40,1.17,63,3.52,0.87,64,4.39,1.56,32,3.66,0.79,32,3.65,1.05,31,3.41,0.87,32,4.81,2.29,16,3.25,0.80,32,3.16,1.25,32,3.63,0.87,32,4.38,1.54,16,0.80,6.31,4,0.4,N
plassen,to pee,3.80,0.95,64,4.45,1.02,64,3.66,1.16,64,3.39,1.09,32,3.84,0.81,32,4.50,0.88,32,3.47,0.80,32,3.81,1.72,16,3.75,1.08,32,4.41,1.16,32,3.84,1.42,32,3.31,1.14,16,1.24,17.38,7,0.0,V
plastic,plastic,3.80,0.57,64,3.14,1.19,64,3.84,1.03,64,5.90,1.81,32,3.78,0.61,32,3.31,1.06,32,3.56,1.08,32,5.81,2.34,16,3.81,0.54,32,2.97,1.31,32,4.13,0.91,32,6.31,1.62,16,1.18,15.05,7,0.0,N
plat,flat,3.48,0.64,64,2.98,1.11,64,3.41,1.06,64,5.19,1.78,32,3.59,0.56,32,3.19,0.97,32,3.31,1.09,32,5.44,2.19,16,3.38,0.71,32,2.78,1.21,32,3.50,1.05,32,5.25,1.73,16,1.28,18.98,4,0.0,A
plechtig,solemn,4.55,0.82,64,3.42,1.12,64,4.52,1.14,64,8.48,2.38,32,4.72,0.73,32,3.69,1.09,32,4.09,1.17,32,7.94,2.62,16,4.38,0.87,32,3.16,1.11,32,4.94,0.95,32,9.38,2.31,16,0.44,2.77,8,0.0,A
plee,loo,3.14,0.91,63,3.63,1.05,64,3.70,1.12,64,7.13,3.22,32,3.19,0.79,31,3.84,0.95,32,3.59,1.01,32,7.25,3.75,16,3.09,1.03,32,3.41,1.10,32,3.81,1.23,32,7.38,2.99,16,0.83,6.79,4,0.4,N
plegen,to commit,3.14,0.75,64,4.88,1.13,64,4.44,1.26,64,7.16,2.40,32,3.25,0.62,32,4.81,1.26,32,4.47,1.39,32,6.94,2.77,16,3.03,0.86,32,4.94,1.01,32,4.41,1.13,32,7.69,2.24,16,1.41,25.43,6,0.0,V
plein,square,4.39,0.68,64,4.05,1.28,64,3.98,0.93,64,5.74,1.48,32,4.38,0.61,32,3.97,1.20,32,3.78,0.94,32,6.50,2.13,16,4.41,0.76,32,4.13,1.36,32,4.19,0.90,32,5.38,1.31,16,0.74,5.49,5,0.0,N
pleister,plaster,3.86,0.83,64,3.30,1.32,64,3.28,1.13,64,4.77,1.78,32,3.91,0.82,32,3.63,1.26,32,2.91,1.00,32,5.50,1.97,16,3.81,0.86,32,2.97,1.31,32,3.66,1.15,32,4.31,1.70,16,0.38,2.40,8,0.0,N
pleit,lawsuit,4.06,0.77,62,4.19,1.21,64,4.38,1.05,61,10.37,3.23,31,4.19,0.79,31,4.28,1.22,32,4.07,1.11,30,9.31,3.42,16,3.94,0.73,31,4.09,1.20,32,4.68,0.91,31,11.73,2.60,15,0.55,3.52,5,2.7,N
pleiten,to plead,4.09,0.83,64,4.95,1.14,63,4.95,0.95,64,9.55,2.77,32,4.09,0.86,32,4.74,1.32,31,4.78,1.13,32,9.00,2.99,16,4.09,0.82,32,5.16,0.92,32,5.13,0.71,32,10.38,2.58,16,0.52,3.32,7,0.4,V
plek,place,4.13,0.58,64,3.20,1.14,64,3.80,0.93,64,4.97,2.14,32,4.16,0.57,32,3.34,1.10,32,3.69,1.00,32,5.44,2.34,16,4.09,0.59,32,3.06,1.19,32,3.91,0.86,32,4.88,2.42,16,2.25,177.41,4,0.0,N
plezier,fun,6.22,0.84,64,5.39,1.16,64,4.97,1.07,64,5.03,1.78,32,5.97,0.86,32,5.16,1.35,32,4.97,1.15,32,5.19,1.94,16,6.47,0.76,32,5.63,0.91,32,4.97,1.00,32,5.25,2.21,16,2.10,125.20,7,0.0,N
plicht,duty,3.73,1.01,64,4.39,1.05,64,4.73,1.38,64,7.81,2.65,32,3.75,1.05,32,4.53,1.02,32,4.50,1.39,32,7.38,3.05,16,3.72,0.99,32,4.25,1.08,32,4.97,1.36,32,8.56,2.39,16,1.45,28.10,6,0.0,N
plichtsgetrouw,dutifull,5.33,0.89,64,4.13,1.29,63,4.73,1.47,64,10.45,2.87,32,5.09,0.93,32,4.45,1.26,31,4.41,1.56,32,10.19,3.37,16,5.56,0.80,32,3.81,1.26,32,5.06,1.32,32,11.06,2.59,16,-0.41,0.39,14,0.4,A
ploeg,team,4.47,0.78,64,4.51,1.20,63,4.69,1.10,64,6.48,2.13,32,4.41,0.76,32,4.42,1.09,31,4.53,1.27,32,6.94,2.79,16,4.53,0.80,32,4.59,1.32,32,4.84,0.88,32,6.38,1.75,16,0.99,9.81,5,0.4,N
ploegen,to plow,4.06,0.77,64,5.13,1.09,64,4.47,1.19,64,7.16,2.35,32,4.19,0.74,32,5.28,0.81,32,4.38,1.43,32,7.13,3.16,16,3.94,0.80,32,4.97,1.31,32,4.56,0.91,32,7.56,1.79,16,0.38,2.38,7,0.0,V
ploert,cad,2.64,0.90,50,4.22,1.04,45,4.13,1.50,48,9.83,3.11,18,2.79,0.96,28,4.33,0.87,24,4.19,1.50,26,9.30,3.89,10,2.45,0.80,22,4.10,1.22,21,4.05,1.53,22,10.50,1.77,8,0.10,1.26,6,27.8,N
plof,flop,3.78,0.79,64,3.81,1.45,64,3.77,1.19,61,6.67,2.43,31,3.84,0.72,32,3.91,1.17,32,3.66,1.11,29,7.31,2.85,16,3.72,0.85,32,3.72,1.69,32,3.88,1.26,32,6.40,2.41,15,-0.41,0.39,4,1.8,N
ploffen,to plop,3.66,0.96,62,4.38,1.32,64,3.94,1.16,63,7.39,2.91,32,3.77,0.68,30,4.38,1.21,32,3.72,1.25,32,7.81,3.35,16,3.56,1.16,32,4.38,1.43,32,4.16,1.04,31,7.31,2.75,16,-0.44,0.37,7,1.3,V
plomp,clumsy,3.05,0.76,61,3.48,1.15,63,3.44,1.07,55,8.18,2.48,23,3.16,0.73,31,3.52,1.15,31,3.27,1.00,26,7.82,3.09,11,2.93,0.78,30,3.44,1.16,32,3.59,1.12,29,9.00,2.30,12,-0.46,0.34,5,9.9,A
plons,splash,4.53,0.85,64,4.50,1.11,64,3.81,0.85,64,5.81,2.48,32,4.41,0.80,32,4.53,1.08,32,3.59,0.84,32,6.19,2.51,16,4.66,0.90,32,4.47,1.16,32,4.03,0.82,32,5.81,2.90,16,-0.32,0.48,5,0.0,N
plonzen,to splash,4.83,0.81,64,4.70,1.08,64,3.84,1.03,64,6.77,2.39,32,4.84,0.81,32,4.78,0.87,32,3.63,1.01,32,7.25,2.86,16,4.81,0.82,32,4.63,1.26,32,4.06,1.01,32,6.69,2.36,16,-1.34,0.05,7,0.0,V
plooi,fold,3.64,0.57,64,3.46,1.19,63,3.50,0.96,64,7.13,1.80,32,3.63,0.61,32,3.65,1.02,31,3.47,1.02,32,7.56,2.10,16,3.66,0.55,32,3.28,1.33,32,3.53,0.92,32,7.06,2.05,16,-0.24,0.57,5,0.4,N
plooien,to fold,3.80,0.62,64,4.36,1.06,64,3.36,1.09,64,6.61,1.96,32,3.81,0.69,32,4.38,0.91,32,3.28,1.11,32,7.00,2.58,16,3.78,0.55,32,4.34,1.21,32,3.44,1.08,32,6.69,2.12,16,0.06,1.14,7,0.0,V
plot,plot,4.11,0.81,63,4.27,1.05,63,4.26,0.99,62,9.68,3.23,32,4.25,0.72,32,4.45,1.12,31,4.13,1.07,32,8.88,3.48,16,3.97,0.87,31,4.09,0.96,32,4.40,0.89,30,10.81,2.93,16,0.37,2.33,4,1.8,N
plots,sudden,3.80,0.78,64,5.31,1.04,64,4.40,1.24,63,6.65,1.70,32,3.88,0.71,32,5.09,1.15,32,4.28,1.44,32,7.00,2.31,16,3.72,0.85,32,5.53,0.88,32,4.52,1.00,31,6.69,1.74,16,1.07,11.64,5,0.4,A
pluche,plush,4.77,0.81,64,2.76,1.12,63,2.73,1.14,63,7.00,2.73,32,4.59,0.91,32,3.19,1.01,31,2.94,1.22,32,7.25,3.07,16,4.94,0.67,32,2.34,1.07,32,2.52,1.03,31,7.06,2.67,16,-0.49,0.32,6,0.9,N
pluim,plume,5.03,0.80,64,3.35,1.36,63,3.29,1.26,63,5.87,2.11,32,4.97,0.69,32,3.61,1.12,31,3.19,1.14,31,6.19,2.56,16,5.09,0.89,32,3.09,1.53,32,3.38,1.39,32,6.00,2.37,16,-0.26,0.55,5,0.9,N
pluimen,to pluck,4.28,0.90,64,3.73,1.08,63,3.52,1.28,63,6.39,2.09,32,4.44,0.88,32,3.88,0.98,32,3.29,1.37,31,6.56,2.16,16,4.13,0.91,32,3.58,1.18,31,3.75,1.16,32,6.56,2.48,16,-0.41,0.39,7,0.9,V
pluis,lint,3.91,0.94,64,3.08,1.21,64,2.89,1.27,64,6.42,2.23,32,3.88,0.98,32,3.19,1.18,32,3.00,1.22,32,7.00,2.71,16,3.94,0.91,32,2.97,1.26,32,2.78,1.34,32,6.25,2.27,16,0.18,1.51,5,0.0,N
pluk,tuft,3.89,0.65,64,3.66,1.04,64,3.78,0.98,64,6.45,1.84,32,4.03,0.65,32,3.63,0.66,32,3.59,0.87,32,6.88,2.47,16,3.75,0.62,32,3.69,1.33,32,3.97,1.06,32,6.44,1.82,16,0.45,2.84,4,0.0,N
plukken,to pick,4.28,0.83,64,4.67,0.94,64,3.75,0.99,64,5.68,2.20,32,4.34,0.75,32,4.59,0.87,32,3.47,0.98,32,6.38,2.83,16,4.22,0.91,32,4.75,1.02,32,4.03,0.93,32,5.44,2.16,16,0.81,6.49,7,0.0,V
plunje,togs,4.11,0.79,55,3.57,1.23,58,3.47,0.97,53,9.64,2.71,28,4.13,0.67,31,3.71,1.12,28,3.65,0.89,26,8.85,3.44,13,4.08,0.93,24,3.43,1.33,30,3.30,1.03,27,10.33,1.72,15,-0.94,0.11,6,13.0,N
plus,plus,4.86,0.73,64,4.09,1.12,64,4.50,1.05,64,5.81,1.25,32,4.78,0.79,32,4.25,0.95,32,4.25,1.11,32,6.19,2.14,16,4.94,0.67,32,3.94,1.27,32,4.75,0.95,32,5.81,0.98,16,1.39,24.54,4,0.0,N
pocherig,boastful,2.62,0.83,63,4.33,1.20,60,3.95,1.38,57,11.21,3.22,29,2.63,0.94,32,4.50,1.07,30,3.80,1.49,30,11.21,3.60,14,2.61,0.72,31,4.17,1.32,30,4.11,1.25,27,11.47,3.00,15,-1.64,0.02,8,6.7,A
poedel,poodle,3.92,0.88,64,4.08,1.19,64,2.92,1.25,64,6.61,1.82,32,3.63,0.83,32,3.88,0.94,32,2.72,1.28,32,7.06,2.08,16,4.22,0.83,32,4.28,1.37,32,3.13,1.21,32,6.44,1.82,16,0.29,1.94,6,0.0,N
poeder,powder,3.94,0.50,64,3.22,1.23,64,3.33,1.14,64,6.10,1.80,32,4.00,0.44,32,3.50,1.11,32,3.28,1.14,32,6.19,2.37,16,3.88,0.55,32,2.94,1.29,32,3.38,1.16,32,6.31,1.54,16,0.79,6.15,6,0.0,N
poef,pouf,4.31,0.83,64,2.89,1.38,64,3.50,1.10,64,7.16,2.97,32,4.28,0.73,32,3.16,1.44,32,3.31,1.18,32,7.56,3.65,16,4.34,0.94,32,2.63,1.29,32,3.69,1.00,32,7.13,2.53,16,0.00,1.01,4,0.0,N
poel,pool,3.95,0.74,64,3.27,1.22,63,3.46,0.98,61,7.50,2.52,31,4.03,0.74,32,3.47,1.11,32,3.30,0.88,30,7.44,3.01,16,3.88,0.75,32,3.06,1.31,31,3.61,1.05,31,8.00,2.48,15,0.25,1.78,4,2.2,N
poema,cougar,4.34,0.98,64,5.27,1.21,63,5.39,1.16,64,7.81,2.59,32,4.47,1.08,32,5.09,1.28,32,5.22,1.21,32,7.56,3.29,16,4.22,0.87,32,5.45,1.12,31,5.56,1.11,32,8.38,2.00,16,0.04,1.10,5,0.4,N
poen,moolah,4.94,1.23,64,4.16,1.39,64,4.86,1.10,64,7.16,2.05,32,4.66,1.31,32,4.69,1.20,32,4.66,1.29,32,6.56,2.63,16,5.22,1.10,32,3.63,1.39,32,5.06,0.84,32,8.06,1.34,16,1.07,11.71,4,0.0,N
poes,cat,4.88,1.12,64,4.16,1.36,64,3.36,1.24,64,3.94,2.00,32,4.78,1.13,32,3.84,1.37,32,3.31,1.26,32,4.31,2.52,16,4.97,1.12,32,4.47,1.29,32,3.41,1.24,32,3.63,1.20,16,0.82,6.61,4,0.0,N
poets,polish,3.84,0.82,64,4.09,1.02,64,3.75,1.08,64,6.97,2.52,32,3.94,0.76,32,4.03,0.90,32,3.50,1.27,32,7.06,2.89,16,3.75,0.88,32,4.16,1.14,32,4.00,0.80,32,7.19,2.46,16,0.52,3.29,5,0.0,N
poetsen,to polish,3.69,0.96,64,5.06,0.92,64,3.56,1.13,64,6.03,2.09,32,3.56,0.80,32,4.88,0.91,32,3.19,1.06,32,7.00,2.63,16,3.81,1.09,32,5.25,0.92,32,3.94,1.08,32,5.44,1.67,16,0.91,8.14,7,0.0,V
pogen,to attempt,4.30,0.80,63,4.60,0.98,63,3.59,1.01,63,9.63,2.98,31,4.44,0.84,32,4.65,0.98,31,3.38,0.94,32,8.93,3.20,15,4.16,0.73,31,4.56,0.98,32,3.81,1.05,31,10.44,2.61,16,-0.46,0.34,5,1.8,V
poker,poker,4.50,1.22,64,4.48,1.07,64,4.56,0.91,64,10.45,3.48,32,4.72,1.20,32,4.50,1.02,32,4.78,0.94,32,10.31,4.29,16,4.28,1.22,32,4.47,1.14,32,4.34,0.83,32,10.69,2.44,16,0.82,6.54,5,0.0,N
pokken,smallpox,2.53,0.91,64,3.98,1.38,60,4.05,1.41,64,6.81,2.09,31,2.56,1.01,32,3.97,1.40,30,4.03,1.49,32,5.87,1.60,15,2.50,0.80,32,4.00,1.39,30,4.06,1.34,32,7.69,2.15,16,0.22,1.65,6,1.8,N
polder,polder,4.27,0.80,64,3.16,1.18,63,3.60,0.98,63,8.29,2.88,32,4.31,0.93,32,3.32,1.30,31,3.34,1.12,32,8.38,3.18,16,4.22,0.66,32,3.00,1.05,32,3.87,0.72,31,8.63,3.05,16,-1.64,0.02,6,0.9,N
politie,police,3.69,1.17,64,5.27,1.09,64,5.23,1.46,64,5.35,1.84,32,3.63,1.16,32,4.97,1.28,32,5.00,1.59,32,5.94,2.17,16,3.75,1.19,32,5.56,0.76,32,5.47,1.29,32,5.00,1.55,16,2.54,346.17,7,0.0,N
polo,polo,4.25,0.64,64,4.25,1.49,64,3.81,1.09,63,9.23,2.97,32,4.09,0.69,32,4.38,1.13,32,3.53,1.34,32,8.81,2.71,16,4.41,0.56,32,4.13,1.79,32,4.10,0.65,31,9.81,3.21,16,0.35,2.22,4,0.4,N
pols,wrist,4.16,0.62,64,3.78,1.28,63,3.58,1.17,64,5.58,1.65,32,4.19,0.69,32,3.77,1.23,31,3.50,1.24,32,6.25,2.02,16,4.13,0.55,32,3.78,1.34,32,3.66,1.10,32,5.25,1.65,16,1.14,13.65,4,0.4,N
polsen,to sound out,4.02,0.55,63,4.27,0.93,64,3.95,1.00,64,7.61,3.19,32,3.97,0.48,31,4.28,0.77,32,3.97,1.06,32,8.13,3.93,16,4.06,0.62,32,4.25,1.08,32,3.94,0.95,32,7.44,2.56,16,0.70,5.05,6,0.4,V
pomp,pump,4.09,0.61,64,4.14,1.31,64,3.91,0.92,64,6.74,2.50,32,4.06,0.56,32,4.25,1.08,32,3.72,1.05,32,6.94,2.93,16,4.13,0.66,32,4.03,1.51,32,4.09,0.73,32,6.81,2.26,16,0.82,6.63,4,0.0,N
pompen,to pump,3.91,0.68,64,5.17,0.94,64,4.44,1.08,64,7.19,2.26,32,4.06,0.62,32,5.19,0.93,32,4.44,1.24,32,7.50,2.97,16,3.75,0.72,32,5.16,0.95,32,4.44,0.91,32,7.25,1.88,16,0.80,6.24,6,0.0,V
pond,pound,4.25,0.56,64,3.48,1.27,64,3.89,1.04,64,8.48,2.97,32,4.31,0.64,32,3.63,1.21,32,3.75,1.08,32,8.25,3.47,16,4.19,0.47,32,3.34,1.33,32,4.03,1.00,32,9.00,2.56,16,1.57,37.07,4,0.0,N
pooier,pimp,2.11,0.93,64,4.80,1.26,64,5.14,1.48,63,11.13,2.90,32,2.34,0.94,32,4.72,1.25,32,5.13,1.34,32,10.75,3.30,16,1.88,0.87,32,4.88,1.29,32,5.16,1.63,31,11.75,2.52,16,0.95,8.87,6,0.4,N
pool,pole,4.14,0.75,64,3.53,1.19,64,4.29,0.96,62,9.71,3.44,32,4.06,0.91,32,3.56,1.13,32,4.06,1.03,31,9.63,3.67,16,4.22,0.55,32,3.50,1.27,32,4.52,0.85,31,9.94,3.23,16,0.55,3.54,4,0.9,N
poort,gate,4.22,0.63,64,3.39,1.27,64,4.23,1.22,64,5.77,1.87,32,4.09,0.64,32,3.63,1.13,32,4.09,1.42,32,6.69,2.24,16,4.34,0.60,32,3.16,1.37,32,4.38,0.98,32,5.31,2.09,16,1.40,25.06,5,0.0,N
poos,while,3.89,0.59,64,3.37,1.09,62,3.40,0.95,62,6.84,2.79,32,4.00,0.51,32,3.55,1.03,31,3.27,0.98,30,6.63,3.42,16,3.78,0.66,32,3.19,1.14,31,3.53,0.92,32,7.50,2.61,16,0.54,3.48,4,1.8,N
poot,leg,3.92,0.60,64,3.66,1.18,64,3.80,0.95,64,4.55,1.80,32,3.91,0.64,32,3.75,1.08,32,3.59,1.16,32,5.38,2.45,16,3.94,0.56,32,3.56,1.29,32,4.00,0.62,32,4.19,1.83,16,0.84,6.95,4,0.0,N
pop,doll,4.22,0.77,64,3.09,1.41,64,3.28,1.21,64,3.71,1.75,32,4.09,0.82,32,3.28,1.35,32,3.22,1.43,32,4.31,2.55,16,4.34,0.70,32,2.91,1.47,32,3.34,0.97,32,3.63,1.96,16,1.38,23.90,3,0.0,N
populair,popular,5.56,0.85,64,5.05,0.97,64,5.17,0.98,64,7.68,2.39,32,5.53,0.80,32,5.16,0.92,32,5.03,0.90,32,7.81,2.71,16,5.59,0.91,32,4.94,1.01,32,5.31,1.06,32,7.88,2.42,16,1.19,15.44,8,0.0,A
por,poke,3.43,0.82,63,4.69,1.02,64,4.23,1.16,60,8.28,3.02,30,3.47,0.88,32,4.69,0.90,32,4.03,1.27,29,8.53,3.56,15,3.39,0.76,31,4.69,1.15,32,4.42,1.03,31,8.40,2.80,15,0.27,1.88,3,3.1,N
porno,porn,3.59,1.38,64,5.83,0.95,64,4.22,1.76,64,10.90,2.26,32,4.19,1.31,32,5.94,0.91,32,4.75,1.48,32,10.81,2.66,16,3.00,1.19,32,5.72,0.99,32,3.69,1.87,32,11.13,1.82,16,1.09,12.23,5,0.0,N
porren,to jab,3.50,0.91,64,4.87,0.83,63,4.38,0.77,64,8.35,2.73,32,3.63,1.07,32,4.91,0.64,32,4.28,0.85,32,8.69,3.05,16,3.38,0.71,32,4.84,1.00,31,4.47,0.67,32,8.31,2.63,16,0.04,1.10,6,0.4,V
port,port,4.14,0.99,57,3.71,1.17,55,4.03,1.10,59,10.36,3.19,29,4.24,0.95,29,4.14,1.11,28,3.62,1.21,29,9.71,3.50,14,4.04,1.04,28,3.26,1.06,27,4.43,0.82,30,11.27,2.91,15,0.34,2.20,4,10.8,N
pose,pose,4.16,0.82,64,3.25,1.37,64,4.02,1.08,62,10.16,2.68,32,4.06,0.80,32,3.56,1.39,32,3.84,1.22,32,10.00,2.80,16,4.25,0.84,32,2.94,1.29,32,4.20,0.89,30,10.50,2.63,16,0.05,1.12,4,0.9,N
positief,positive,6.23,0.81,64,4.63,1.29,64,5.11,1.13,64,7.35,2.79,32,6.06,0.88,32,4.59,1.41,32,4.94,1.24,32,7.50,3.61,16,6.41,0.71,32,4.66,1.18,32,5.28,0.99,32,7.50,1.97,16,1.17,14.91,8,0.0,A
post,post,4.56,0.71,64,3.61,1.15,64,3.66,0.88,64,5.39,1.31,32,4.47,0.62,32,3.72,1.11,32,3.41,0.91,32,5.81,2.04,16,4.66,0.79,32,3.50,1.19,32,3.91,0.78,32,5.38,1.41,16,1.57,37.00,4,0.0,N
posten,to post,4.19,0.56,64,4.14,1.07,64,3.91,1.03,64,6.52,1.93,32,4.13,0.55,32,3.94,1.19,32,3.59,1.29,32,6.38,2.50,16,4.25,0.57,32,4.34,0.90,32,4.22,0.55,32,7.00,1.71,16,0.63,4.30,6,0.0,V
poster,poster,4.52,0.59,64,3.22,1.29,64,3.83,0.90,64,6.55,2.03,32,4.50,0.57,32,3.47,1.22,32,3.75,0.95,32,6.75,2.57,16,4.53,0.62,32,2.97,1.33,32,3.91,0.86,32,6.69,1.89,16,0.57,3.75,6,0.0,N
